grid_search_id,final_train_loss,final_val_loss,best_val_loss,model_name,optimizer,learning_rate,loss_function,num_epochs,actual_epochs,stopped_early,mae,mse,rmse,r2,mape,hidden_features,dropout,activation,rank,model_path,fold
7,1.3389007020352492,1.3260596015874078,1.2807683033101698,SimpleMLP,Adam,0.001,L1Loss,100,64.0,5,1.2827611446380616,2.6419939517974855,1.624806316363232,0.633811092376709,36.732838,128,0.2,ReLU,1,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0007_fold5.pt,5
1,1.3382038958926699,1.3284277319908142,1.2810075160335093,SimpleMLP,Adam,0.001,L1Loss,100,81.2,5,1.2833287000656128,2.6189034938812257,1.617457545550008,0.6371817350387573,36.362663,64,0.2,ReLU,2,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0001_fold5.pt,5
15,1.3720021939989346,1.297862522391712,1.2829333512222065,SimpleMLP,Adam,0.001,L1Loss,100,79.8,4,1.287873387336731,2.676725721359253,1.6354833740880266,0.6289554476737976,36.295036,256,0.4,ReLU,3,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0015_fold5.pt,5
13,1.3285729515018747,1.2992370261865502,1.2840412585174337,SimpleMLP,Adam,0.001,L1Loss,100,66.4,5,1.2866963863372802,2.669068145751953,1.6328096331393158,0.6302773714065552,36.4692,256,0.2,ReLU,4,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0013_fold5.pt,5
8,1.357053581992192,1.2953965734033024,1.2857913381913129,SimpleMLP,Adam,0.001,L1Loss,100,77.6,4,1.2884823083877563,2.692677640914917,1.6404535327278442,0.6265609860420227,36.88526,128,0.3,ReLU,5,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0008_fold5.pt,5
14,1.3614115964120894,1.312062900206622,1.292323953965131,SimpleMLP,Adam,0.001,L1Loss,100,59.0,5,1.2952450037002563,2.7179287910461425,1.6480318421835232,0.6232567548751831,36.10444,256,0.3,ReLU,6,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0014_fold5.pt,5
9,1.369334144467738,1.323842032516704,1.2933214082437403,SimpleMLP,Adam,0.001,L1Loss,100,68.2,5,1.2963129997253418,2.7508646488189696,1.6579800407600707,0.6189092636108399,36.44629,128,0.4,ReLU,7,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0009_fold3.pt,3
2,1.363921494537325,1.3151145829873925,1.294846711439245,SimpleMLP,Adam,0.001,L1Loss,100,78.6,5,1.2967340469360351,2.703114891052246,1.6437489487473254,0.6252584099769593,37.20791,64,0.3,ReLU,8,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0002_fold5.pt,5
3,1.4085192433933713,1.3450353622436524,1.2976930748013888,SimpleMLP,Adam,0.001,L1Loss,100,67.2,5,1.3002761363983155,2.7642876625061037,1.6621171777292179,0.617092227935791,36.635277,64,0.4,ReLU,9,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0003_fold5.pt,5
16,1.4635193806086015,1.4071769644232357,1.3976752821136924,SimpleMLP,Adam,0.001,L1Loss,100,94.8,2,1.4037388801574706,4.32840256690979,2.077732499658045,0.40243149995803834,37.653084,256,0.2,Tanh,10,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0016_fold4.pt,4
