grid_search_id,final_train_loss,final_val_loss,best_val_loss,model_name,optimizer,learning_rate,loss_function,num_epochs,actual_epochs,stopped_early,mae,mse,rmse,r2,mape,rank,model_path,fold
22,2.495732106730365,1.2497077703475952,1.2392980813980103,TabNetRegressor,Adam,0.02,MAE,100,30.6,5,1.2392980813980103,2.418079710006714,1.5547726479180315,0.6648980259895325,35.04739,1,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0022_fold5,5
25,2.4931851297540044,1.2561591386795044,1.2396099090576171,TabNetRegressor,Adam,0.02,MAE,100,25.2,5,1.2396099090576171,2.412138891220093,1.5529090441018187,0.6656261324882508,35.027916,2,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0025_fold5,5
8,2.504224774401845,1.2543838024139404,1.240132713317871,TabNetRegressor,Adam,0.02,MAE,100,25.6,5,1.240132713317871,2.413489007949829,1.5533872404265208,0.6654916882514954,34.636345,3,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0008_fold5,5
16,2.5496866540917096,1.2805598258972168,1.2406116485595704,TabNetRegressor,Adam,0.02,MAE,100,33.4,5,1.2406116485595704,2.4336776733398438,1.5597825460383976,0.6627751350402832,34.65479,4,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0016_fold5,5
1,2.513967693933521,1.2568594217300415,1.2406880140304566,TabNetRegressor,Adam,0.02,MAE,100,23.4,5,1.2406880140304566,2.4380609035491942,1.5612484377099125,0.6618674993515015,35.22753,5,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0001_fold5,5
10,2.5067282471482732,1.267015552520752,1.240911316871643,TabNetRegressor,Adam,0.02,MAE,100,21.4,5,1.240911316871643,2.4191457748413088,1.5552008355100362,0.6647154092788696,33.92518,6,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0010_fold5,5
11,2.5100390129480035,1.2681166172027587,1.2413552522659301,TabNetRegressor,Adam,0.02,MAE,100,32.4,5,1.2413552522659301,2.4119726181030274,1.5528119138061771,0.665671193599701,34.723564,7,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0011_fold5,5
19,2.707969899540955,1.2524677515029907,1.2414241790771485,TabNetRegressor,Adam,0.02,MAE,100,26.0,5,1.2414241790771485,2.4427373886108397,1.5626631273555536,0.6614953517913819,35.210983,8,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0019_fold5,5
9,2.5330754874399126,1.2994152069091798,1.2414549589157104,TabNetRegressor,Adam,0.02,MAE,100,33.0,5,1.2414549589157104,2.421408987045288,1.5557701979027136,0.6645284652709961,35.389362,9,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0009_fold5,5
26,2.523002538927662,1.2558377504348754,1.2418437957763673,TabNetRegressor,Adam,0.02,MAE,100,20.2,5,1.2418437957763673,2.422930431365967,1.5564063738080829,0.6641055464744567,35.105,10,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0026_fold5,5
5,2.5116271823432426,1.2615073680877686,1.2420562267303468,TabNetRegressor,Adam,0.02,MAE,100,27.4,5,1.2420562267303468,2.420723390579224,1.5557159956946927,0.664491081237793,35.227455,11,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0005_fold5,5
13,2.5175170947355427,1.2533033847808839,1.2425320148468018,TabNetRegressor,Adam,0.02,MAE,100,23.4,5,1.2425320148468018,2.4313974380493164,1.5590927553334908,0.663074541091919,34.72883,12,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0013_fold5,5
20,2.5418251286816846,1.2676677465438844,1.2425482988357544,TabNetRegressor,Adam,0.02,MAE,100,27.2,5,1.2425482988357544,2.431183099746704,1.559055747733845,0.6629884600639343,34.778538,13,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0020_fold5,5
17,2.5114575925913627,1.2526371240615846,1.2428808450698852,TabNetRegressor,Adam,0.02,MAE,100,30.0,5,1.2428808450698852,2.4576135635375977,1.5673407722298045,0.6594768643379212,34.88696,14,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0017_fold5,5
12,2.5531189730083703,1.2549741983413696,1.2433454751968385,TabNetRegressor,Adam,0.02,MAE,100,32.2,5,1.2433454751968385,2.4390079975128174,1.5614466529601763,0.662062132358551,35.43345,15,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0012_fold5,5
2,2.5536910458027906,1.260116195678711,1.2434941053390502,TabNetRegressor,Adam,0.02,MAE,100,23.4,5,1.2434941053390502,2.442863178253174,1.5626807748465554,0.6614320874214172,34.88671,16,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0002_fold5,5
23,2.523195025710367,1.2591317653656007,1.2436012268066405,TabNetRegressor,Adam,0.02,MAE,100,25.6,5,1.2436012268066405,2.4319033145904543,1.559189557379725,0.6630072236061096,35.071327,17,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0023_fold5,5
27,2.988118985156165,1.2746203660964965,1.2446718692779541,TabNetRegressor,Adam,0.02,MAE,100,32.2,5,1.2446718692779541,2.4596746444702147,1.568071547997366,0.659114944934845,34.6663,18,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0027_fold5,5
4,2.7017885757000606,1.282945990562439,1.2450378656387329,TabNetRegressor,Adam,0.02,MAE,100,24.8,5,1.2450378656387329,2.4613580226898195,1.5688228390577315,0.6587643146514892,34.74264,19,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0004_fold3,3
21,2.5296377847377394,1.3047383069992065,1.245570921897888,TabNetRegressor,Adam,0.02,MAE,100,32.6,5,1.245570921897888,2.432055950164795,1.559336473664944,0.6629697918891907,34.944813,20,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0021_fold5,5
15,2.544681441332751,1.2995357990264893,1.2459498643875122,TabNetRegressor,Adam,0.02,MAE,100,30.2,5,1.2459498643875122,2.4598745346069335,1.5682168468296598,0.659100604057312,36.31275,21,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0015_fold5,5
14,2.517272240425284,1.2573496580123902,1.245976209640503,TabNetRegressor,Adam,0.02,MAE,100,27.8,5,1.245976209640503,2.453528118133545,1.5660652400512565,0.6599296450614929,35.402122,22,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0014_fold5,5
7,2.5325267275603403,1.2549763441085815,1.246060585975647,TabNetRegressor,Adam,0.02,MAE,100,24.2,5,1.246060585975647,2.436793851852417,1.560813259385219,0.6622631788253784,35.08239,23,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0007_fold5,5
3,2.5677669089822963,1.2644672870635987,1.2484369993209838,TabNetRegressor,Adam,0.02,MAE,100,39.2,5,1.2484369993209838,2.4540321826934814,1.566355330716934,0.6596139073371887,35.53616,24,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0003_fold5,5
18,2.5423011765655588,1.2751341819763184,1.2487006902694702,TabNetRegressor,Adam,0.02,MAE,100,29.0,5,1.2487006902694702,2.4788859844207765,1.574322982107801,0.6564237952232361,35.81719,25,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0018_fold5,5
