grid_search_id,fold,final_train_loss,final_val_loss,best_val_loss,best_epoch,actual_epochs,num_epochs,stopped_early,optimizer,learning_rate,loss_function,model_path,mae,mse,rmse,r2,mape,model_name,d_model,n_heads,num_layers
1,1,1.243308522808018,1.2950520340134115,1.2825954731772928,52,62,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0001_fold1.pt,1.2785969972610474,2.5935726165771484,1.6104572694042982,0.6603015661239624,36.134113,SimpleTabTransformer,64,2,1
1,2,1.2660737976209442,1.2708118803360884,1.2307101172559403,24,34,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0001_fold2.pt,1.235947608947754,2.4843814373016357,1.5761920686583966,0.658233642578125,35.680992,SimpleTabTransformer,64,2,1
1,3,1.2518998967177832,1.2802742719650269,1.245114440427107,29,39,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0001_fold3.pt,1.2510154247283936,2.485369920730591,1.5765056044082402,0.658633828163147,36.922966,SimpleTabTransformer,64,2,1
1,4,1.2898283961103922,1.2797138796133154,1.2650278315824621,26,36,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0001_fold4.pt,1.2627604007720947,2.564915180206299,1.6015352572473385,0.6115391850471497,35.32978,SimpleTabTransformer,64,2,1
1,5,1.263624223310556,1.236462214413811,1.232154271181892,21,31,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0001_fold5.pt,1.2315205335617065,2.496277332305908,1.5799611806325837,0.6597387790679932,36.663204,SimpleTabTransformer,64,2,1
2,1,1.2593579585872479,1.2867813320720898,1.282908443142386,45,55,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0002_fold1.pt,1.2792348861694336,2.640336275100708,1.624911159140926,0.6541765928268433,37.48151,SimpleTabTransformer,64,2,2
2,2,1.2807144211299384,1.2348216070848352,1.2335603517644547,33,43,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0002_fold2.pt,1.2383440732955933,2.446181297302246,1.5640272687208001,0.6634886264801025,35.219063,SimpleTabTransformer,64,2,2
2,3,1.2645206220114409,1.2878567927023943,1.2482718439663159,29,39,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0002_fold3.pt,1.254878044128418,2.5672247409820557,1.6022561408782479,0.6473910808563232,35.974167,SimpleTabTransformer,64,2,2
2,4,1.2622916195819627,1.2644350563778597,1.2570666530553032,35,45,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0002_fold4.pt,1.2543599605560303,2.5122318267822266,1.5850021535575989,0.6195181608200073,34.93938,SimpleTabTransformer,64,2,2
2,5,1.2530908620179588,1.2495213571716757,1.2217075614368214,56,66,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0002_fold5.pt,1.2219650745391846,2.453214645385742,1.5662741284289101,0.6656085848808289,37.43009,SimpleTabTransformer,64,2,2
3,1,1.455609116091657,1.4527414125554703,1.2936907726175644,46,56,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0003_fold1.pt,1.289955735206604,2.6839356422424316,1.6382721514578802,0.6484661102294922,36.46122,SimpleTabTransformer,64,2,3
3,2,1.5586882402647788,1.4539892147569096,1.4111051138709574,32,42,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0003_fold2.pt,1.4202313423156738,4.806735038757324,2.1924267464974343,0.3387566804885864,36.431507,SimpleTabTransformer,64,2,3
3,3,1.430793962371883,1.3733319797936607,1.2512652014984804,48,58,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0003_fold3.pt,1.257379412651062,2.5495383739471436,1.5967273950011454,0.6498203277587891,36.295746,SimpleTabTransformer,64,2,3
3,4,1.370650358609299,1.2789143744636984,1.2646086496465347,42,52,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0003_fold4.pt,1.262229084968567,2.614875555038452,1.6170576845117344,0.6039725542068481,36.208107,SimpleTabTransformer,64,2,3
3,5,1.461138526895153,1.4935897273175858,1.442939000971177,23,33,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0003_fold5.pt,1.4425594806671143,4.759277820587158,2.181576911453538,0.3512749671936035,41.17921,SimpleTabTransformer,64,2,3
4,1,1.2445800731431191,1.2952612112550175,1.2813994568936966,36,46,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0004_fold1.pt,1.277799367904663,2.617288112640381,1.617803483937521,0.6571953296661377,37.89841,SimpleTabTransformer,64,4,1
4,2,1.2711162242426801,1.274272382259369,1.2423183304422043,26,36,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0004_fold2.pt,1.2479161024093628,2.48279070854187,1.5756873765255182,0.6584523916244507,34.60783,SimpleTabTransformer,64,4,1
4,3,1.2538989835710668,1.29000543496188,1.241545426494935,46,56,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0004_fold3.pt,1.2470515966415405,2.4446542263031006,1.5635390069656403,0.6642261743545532,35.95121,SimpleTabTransformer,64,4,1
4,4,1.2587683601165884,1.2741896369877983,1.265997662263758,24,34,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0004_fold4.pt,1.263319730758667,2.5657122135162354,1.601784072063471,0.6114184856414795,35.754578,SimpleTabTransformer,64,4,1
4,5,1.2775615382550367,1.2426695578238542,1.235684615724227,20,30,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0004_fold5.pt,1.2355678081512451,2.4973807334899902,1.5803103282235391,0.6595883965492249,38.286003,SimpleTabTransformer,64,4,1
5,1,1.2586125219935802,1.363808877327863,1.2952324993470137,29,39,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0005_fold1.pt,1.29177987575531,2.7212817668914795,1.6496307971456763,0.643574595451355,36.824368,SimpleTabTransformer,64,4,2
5,2,1.2584723812430652,1.2763145706232857,1.2316599207765915,42,52,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0005_fold2.pt,1.237381935119629,2.470247507095337,1.5717021050744115,0.6601779460906982,34.896507,SimpleTabTransformer,64,4,2
5,3,1.2744853656683395,1.2816536023336298,1.2550691576565014,29,39,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0005_fold3.pt,1.2612016201019287,2.575148582458496,1.6047269495021563,0.6463027000427246,36.83735,SimpleTabTransformer,64,4,2
5,4,1.3225962217174358,1.3022565596243914,1.2503345433403463,50,60,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0005_fold4.pt,1.246583342552185,2.4786996841430664,1.5743886699741796,0.6245966553688049,36.075497,SimpleTabTransformer,64,4,2
5,5,1.2803760206521446,1.2662053564015556,1.235405899146024,28,38,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0005_fold5.pt,1.235926866531372,2.511927366256714,1.584906106448175,0.6576055884361267,37.371902,SimpleTabTransformer,64,4,2
6,1,1.8444836958130795,1.8816854392780977,1.4799110819311703,31,41,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0006_fold1.pt,1.4811642169952393,5.2901105880737305,2.3000240407599506,0.30711692571640015,39.45301,SimpleTabTransformer,64,4,3
6,2,1.37478182298034,1.2574524458716898,1.2299396027536953,64,74,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0006_fold2.pt,1.2361325025558472,2.477701187133789,1.5740715317715994,0.6591525673866272,33.81704,SimpleTabTransformer,64,4,3
6,3,1.2700621668082566,1.2710397068191976,1.2430979469243217,57,67,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0006_fold3.pt,1.2497344017028809,2.4878406524658203,1.5772890199534835,0.6582944393157959,36.976994,SimpleTabTransformer,64,4,3
6,4,1.4481322391709286,1.391626543858472,1.276320268126095,33,43,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0006_fold4.pt,1.2750444412231445,2.6757123470306396,1.635760479725146,0.5947587490081787,36.722263,SimpleTabTransformer,64,4,3
6,5,1.442957955509869,1.4137546157135683,1.2285523028934704,50,60,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0006_fold5.pt,1.22946298122406,2.540893077850342,1.5940179038675637,0.6536573171615601,36.05388,SimpleTabTransformer,64,4,3
7,1,1.2472206678853106,1.2894691754789913,1.2893077766194063,29,39,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0007_fold1.pt,1.2860726118087769,2.6726696491241455,1.6348301591064882,0.6499416828155518,38.00229,SimpleTabTransformer,64,8,1
7,2,1.2538601391351045,1.2709112167358398,1.2400261531857883,31,41,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0007_fold2.pt,1.245550274848938,2.5077576637268066,1.5835901185997614,0.6550178527832031,35.18571,SimpleTabTransformer,64,8,1
7,3,1.2393458200924432,1.2460005931994493,1.24450744600857,35,45,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0007_fold3.pt,1.2503085136413574,2.533633232116699,1.5917390590535558,0.6520048379898071,35.366356,SimpleTabTransformer,64,8,1
7,4,1.2531247539306754,1.2787667618078344,1.2670544210602255,34,44,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0007_fold4.pt,1.2631430625915527,2.530020236968994,1.5906037334826655,0.6168240904808044,35.992466,SimpleTabTransformer,64,8,1
7,5,1.2649408298641889,1.2802315810147453,1.224061906337738,26,36,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0007_fold5.pt,1.2246674299240112,2.475041389465332,1.5732264266358267,0.6626334190368652,34.949726,SimpleTabTransformer,64,8,1
8,1,1.3553944950673118,1.4089164733886719,1.2926911746754366,44,54,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0008_fold1.pt,1.2884546518325806,2.7144854068756104,1.6475695453836268,0.6444647312164307,37.066307,SimpleTabTransformer,64,8,2
8,2,1.2568604768212162,1.2465241358560675,1.2333579519215752,45,55,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0008_fold2.pt,1.2376606464385986,2.4324028491973877,1.559616250619808,0.66538405418396,35.107307,SimpleTabTransformer,64,8,2
8,3,1.26669703757585,1.2564874273889206,1.2420384989065283,28,38,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0008_fold3.pt,1.2492499351501465,2.5313611030578613,1.5910251736090983,0.6523169279098511,36.843052,SimpleTabTransformer,64,8,2
8,4,1.338330428102123,1.2826767879373886,1.2526914898086996,29,39,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0008_fold4.pt,1.2491226196289062,2.483447790145874,1.575895869068091,0.6238775253295898,35.855865,SimpleTabTransformer,64,8,2
8,5,1.3929217893685868,1.5786758906701033,1.2289371911217184,39,49,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0008_fold5.pt,1.228837013244629,2.4770777225494385,1.573873477300332,0.6623558402061462,37.592144,SimpleTabTransformer,64,8,2
9,1,1.269585075218286,1.3000335833605599,1.2796831691966337,55,65,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0009_fold1.pt,1.275756597518921,2.623603105545044,1.6197540262475176,0.6563682556152344,37.045364,SimpleTabTransformer,64,8,3
9,2,1.2984962979359413,1.280079399838167,1.2504372088348163,54,64,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0009_fold2.pt,1.2564011812210083,2.5712711811065674,1.603518375668507,0.6462805271148682,35.32323,SimpleTabTransformer,64,8,3
